"CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP"
"Bazhong",24,21,0,31.5205,106.4450,3328600
"Mianyang",22,22,0,31.2801,104.4040,4771900
"Neijiang",22,22,0,29.3448,105.0329,3747000
"Deyang",18,18,0,31.0738,104.2351,3513200
"Suining",17,17,0,30.3200,105.3532,3290000
"Panzhihua",16,16,0,26.3454,101.4306,1232500
"Liangshan",13,13,0,27.5254,102.1603,4680000
"Yibin",12,12,0,28.4508,104.3832,4556000
"Zigong",9,9,0,29.2019,104.4640,2920000
"Meishan",8,7,0,30.0436,103.5052,3001300
"Yaan",7,7,0,29.5850,103.0046,1546800
"Guangyuan",6,6,0,32.2607,105.5035,2630000
"Ziyang",6,6,0,30.0744,104.3740,2517100
"Leshan",3,3,0,29.3307,103.4554,3260500
"Aba",1,1,0,31.5358,102.1329,930100
"Jining",260,254,0,35.2454,116.3513,8299200
"Qingdao",61,59,1,36.5,120.20,9394800
"Linyi",49,48,0,35.0614,118.2120,10311600
"Yantai",47,47,0,37.2752,121.2652,7014100
"Jinan",47,46,0,36.3800,117.0100,8697200
"Weifang",44,44,0,36.4223,119.0944,9277200
"Liaocheng",38,38,0,36.2726,115.5911,6036800
"Weihai",38,37,1,37.3045,122.0655,2825600
"Dezhou",37,33,2,37.2602,116.2126,5742300
"Taian",35,33,2,36.1200,117.0517,5600800
"Zibo",30,28,1,36.4848,118.0318,4708400
"Zaozhuang",24,24,0,34.4837,117.1925,3916000
"Heze",18,18,0,35.1358,115.2856,8500300
"Rizhao",16,16,0,35.2455,119.3136,2930300
"Binzhou",15,15,0,37.2252,117.5816,3859000
"Shanghai",350,324,3,31.2304,121.4737,24237800
"Xian",120,110,2,34.16,108.54,12000000
"Hanzhong",26,25,0,33.0403,107.0124,3438100
"Ankang",26,26,0,32.4105,109.0144,2650000
"Xianyang",17,16,0,34.1947,108.4233,4972400
"Weinan",15,4,0,34.2957,109.3011,5359900
"Baoji",13,13,0,34.2148,107.1416,3771000
"Tongchuan",8,8,0,34.5352,108.5641,846200
"Yanan",8,8,0,36.3508,109.2923,2263100
"Shangluo",7,7,0,33.5213,109.5626,2357400
"Yulin",3,3,0,38.1707,109.4405,3401100
"Yangling",1,1,0,34.2721,108.0847,155000
"Hancheng",1,1,0,35.4768,110.4428,391164
"Jinzhong",37,37,0,37.4115,112.4506,3335700
"Taiyuan",20,20,0,37.52,112.33,4381000
"Yuncheng",19,19,0,35.0135,111.0027,5275300
"Datong",12,12,0,40.0435,113.1800,3406400
"Jincheng",10,10,0,35.2922,112.5106,2315000
"Changzhi",8,8,0,36.1143,113.0659,3420400
"Shuozhou",8,8,0,39.1951,112.2555,1762200
"Xinzhou",7,7,0,38.2459,112.4403,3141300
"Lvliang",6,6,0,37.3106,111.0838,3832200
"Yangquan",4,4,0,37.5126,113.3449,1398300
"Linfen",2,2,0,36.0517,111.3108,4435700
"Tianjin",136,132,3,39.3434,117.3616,15596000
"Taiwan",50,20,1,23.9037,121.0794,23345969
"Wulumuqi",23,23,0,43.43,87.38,2226100
"Yilizhou",18,18,0,43.9168,81.3241,4582000
"Changjizhou",4,4,0,44.0112,87.3082,547481
"Tulufan",3,3,0,42.9513,89.1898,622900
"Bazhou",3,3,0,41.7641,86.1453,820000
"Akesu",1,1,0,41.1675,80.2634,560000
"Lhasa",1,1,0,29.6525,91.1721,642300
"Kunming",53,53,0,25.0230,102.4218,6677000
"Zhaotong",25,25,0,27.2018,103.4303,5430000
"Xishuangbanna",15,14,1,22.0031,100.4749,116400
"Yuxi",14,13,1,24.2050,102.3138,2362000
"Dali",13,13,0,25.6065,100.2676,652000
"Qujing",13,12,0,25.2925,103.4746,6047000
"Honghe",9,9,0,23.3623,103.3746,4501000
"Baoshan",9,9,0,25.0643,99.0942,2614000
"Lijiang",7,7,0,26.5117,100.1339,1280000
"Dehong",5,4,0,24.2600,98.3505,1279000
"Puer",4,4,0,22.4930,100.5759,2605000
"Chuxiong",4,4,0,25.25451,101.313571,510000
"Wenshan",2,2,0,23.3863,104.2325,481505
"Lincang",1,1,0,23.5303,100.0520,2509000
"Wenzhou",504,501,1,27.5935,120.4156,9117000
"Hangzhou",181,179,0,30.16,120.12,10360000
"Ningbo",157,157,0,29.5239,121.3249,8005000
"Taizhou",146,146,0,28.3920,121.2518,6049000
"Jinhua",55,55,0,29.0444,119.3851,5454000
"Jiaxing",45,44,0,30.4514,120.4532,4585000
"Shaoxing",42,41,0,29.5942,120.3510,4968000
"Lishui",25,18,0,28.2801,119.5523,2139000
"Quzhou",14,14,0,28.5812,118.5136,2133000
"Huzhou",12,10,0,30.5338,120.0513,3027000
"Zhoushan",10,10,0,29.5907,122.1228,1168000
