"","CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP","RATE"
"223","Tongliao",7,7,0,43.391,122.1437,3120800,2.24301461163804e-06
"224","Huhehaote",7,6,0,40.5032,111.4501,3126000,2.23928342930262e-06
"225","Hulunbeier",7,7,0,49.1242,119.4557,2526500,2.77063130813378e-06
"226","Wulanchabu",3,3,0,40.5942,113.0755,2111300,1.42092549613982e-06
"227","Wuhai",2,2,0,39.3918,106.4739,555800,3.59841669665347e-06
"228","Xinganmeng",1,1,0,46.0457,122.0215,1599100,6.25351760365205e-07
"229","Yinchuan",36,34,0,38.2915,106.1351,2164100,1.66350907998706e-05
"230","Wuzhong",28,28,0,37.5951,106.1154,1373200,2.03903291581707e-05
"231","Guyuan",5,5,0,36.0057,106.1433,1228200,4.07099820876079e-06
"232","Zhongwei",4,3,0,37.3,105.1148,1214200,3.29435018942514e-06
"233","Shizuishan",1,1,0,38.59,106.2258,803000,1.2453300124533e-06
"234","Xining",15,15,0,36.3701,101.4641,2310800,6.49125843863597e-06
"235","Beihaizhou",3,3,0,36.5716,100.5402,278700,1.07642626480086e-05
"236","Chengdu",144,121,3,30.5728,104.0668,16330000,8.81812614819351e-06
"237","Ganzi",78,76,0,30.0258,101.5745,1164900,6.69585372134947e-05
"238","Dazhou",42,42,0,31.1232,107.2803,5597700,7.50308162280937e-06
"239","Nanchong",39,39,0,30.5016,106.0631,6364000,6.12822124450031e-06
"240","Guangan",30,30,0,30.2719,106.3759,3246600,9.24043614858621e-06
"241","Luzhou",24,24,0,28.5216,105.2627,4317200,5.55915871398128e-06
"242","Bazhong",24,21,0,31.5205,106.445,3328600,7.21023853872499e-06
"243","Mianyang",22,22,0,31.2801,104.404,4771900,4.61032293216539e-06
"244","Neijiang",22,22,0,29.3448,105.0329,3747000,5.8713637576728e-06
"245","Deyang",18,18,0,31.0738,104.2351,3513200,5.12353409996584e-06
"246","Suining",17,17,0,30.32,105.3532,3290000,5.16717325227964e-06
"247","Panzhihua",16,16,0,26.3454,101.4306,1232500,1.29817444219067e-05
"248","Liangshan",13,13,0,27.5254,102.1603,4680000,2.77777777777778e-06
"249","Yibin",12,12,0,28.4508,104.3832,4556000,2.63388937664618e-06
"250","Zigong",9,9,0,29.2019,104.464,2920000,3.08219178082192e-06
"251","Meishan",8,7,0,30.0436,103.5052,3001300,2.66551161163496e-06
"252","Yaan",7,7,0,29.585,103.0046,1546800,4.52547194207396e-06
"253","Guangyuan",6,6,0,32.2607,105.5035,2630000,2.28136882129278e-06
"254","Ziyang",6,6,0,30.0744,104.374,2517100,2.38369552262524e-06
"255","Leshan",3,3,0,29.3307,103.4554,3260500,9.20104278484895e-07
"256","Aba",1,1,0,31.5358,102.1329,930100,1.07515320933233e-06
"257","Jining",260,254,0,35.2454,116.3513,8299200,3.1328320802005e-05
"258","Qingdao",61,59,1,36.5,120.2,9394800,6.49295354877166e-06
"259","Linyi",49,48,0,35.0614,118.212,10311600,4.75192986539431e-06
"260","Yantai",47,47,0,37.2752,121.2652,7014100,6.70078841191315e-06
"261","Jinan",47,46,0,36.38,117.01,8697200,5.40403808122154e-06
"262","Weifang",44,44,0,36.4223,119.0944,9277200,4.74281033070323e-06
"263","Liaocheng",38,38,0,36.2726,115.5911,6036800,6.29472568248078e-06
"264","Weihai",38,37,1,37.3045,122.0655,2825600,1.34484711211778e-05
"265","Dezhou",37,33,2,37.2602,116.2126,5742300,6.4434111767062e-06
"266","Taian",35,33,2,36.12,117.0517,5600800,6.24910727038994e-06
"267","Zibo",30,28,1,36.4848,118.0318,4708400,6.37159119870869e-06
"268","Zaozhuang",24,24,0,34.4837,117.1925,3916000,6.12870275791624e-06
"269","Heze",18,18,0,35.1358,115.2856,8500300,2.11757232097691e-06
"270","Rizhao",16,16,0,35.2455,119.3136,2930300,5.4601917892366e-06
"271","Binzhou",15,15,0,37.2252,117.5816,3859000,3.88701736201088e-06
"272","Shanghai",350,324,3,31.2304,121.4737,24237800,1.44402544785418e-05
